OBJECTID,DATASET_E,DATASET_C,ADDRESS_E,ADDRESS_C,SEARCH1_E,SEARCH1_C,SEARCH2_E,SEARCH2_C,NSEARCH1_E,NSEARCH1_C,NSEARCH2_E,NSEARCH2_C,NSEARCH3_E,NSEARCH3_C,NSEARCH4_E,NSEARCH4_C,NSEARCH5_E,NSEARCH5_C,LATITUDE,LONGITUDE,GeometryLongitude,GeometryLatitude
5050,Building information and age records,樓宇資料及樓齡紀錄,360 PRINCE EDWARD RD W HANG SENG BANK KOWLOON CITY BRANCH BUILDING,太子道西360號 恒生銀行九龍城分行大廈,Kowloon City,九龍城,Kowloon,九龍,306199,306199,K195/67,K195/67,1967-08-24,1967-08-24,Tower,座,Office/Commercial,寫字樓/商業,22.32756595,114.1873486,114.18734860035772,22.327565949708855
5051,Building information and age records,樓宇資料及樓齡紀錄,364 PRINCE EDWARD RD W,太子道西364號,Kowloon City,九龍城,Kowloon,九龍,306209,306209,K84/62,K84/62,1962-03-12,1962-03-12,Tower,座,Residential/Composite,住宅/綜合用途,22.32764966,114.1876733,114.18767329968307,22.32764966040355
5052,Building information and age records,樓宇資料及樓齡紀錄,366 PRINCE EDWARD RD W,太子道西366號,Kowloon City,九龍城,Kowloon,九龍,306211,306211,NK55/71,NK55/71,1971-05-13,1971-05-13,Tower,座,Residential/Composite,住宅/綜合用途,22.3276585,114.1877614,114.18776139996874,22.32765849983997
5053,Building information and age records,樓宇資料及樓齡紀錄,68 CONNAUGHT RD C TWO CHINACHEM PLAZA,干諾道中68號 華懋廣場II期,Central & Western,中西區,Hong Kong,香港島,306249,306249,H96/90,H96/90,1990-10-03,1990-10-03,Tower,座,Office/Commercial,寫字樓/商業,22.28554122,114.155339,114.15533900019477,22.285541219551703
5054,Building information and age records,樓宇資料及樓齡紀錄,135 DES VOEUX RD C TWO CHINACHEM PLAZA,德輔道中135號 華懋廣場II期,Central & Western,中西區,Hong Kong,香港島,306361,306361,H96/90,H96/90,1990-10-03,1990-10-03,Podium,平台,Office/Commercial,寫字樓/商業,22.28546868,114.1552805,114.15528050019498,22.285468680235454
5055,Building information and age records,樓宇資料及樓齡紀錄,616 QUEEN'S RD W SUM WAY MANSION,皇后大道西616號 三滙大廈,Central & Western,中西區,Hong Kong,香港島,306602,306602,H242/73,H242/73,1973-12-21,1973-12-21,Podium,平台,Residential/Composite,住宅/綜合用途,22.28648537,114.1325079,114.13250789971983,22.286485370103776
5056,Building information and age records,樓宇資料及樓齡紀錄,65 GILMAN ST CHINA INSURANCE GROUP BLDG,機利文街65號 中保集團大廈,Central & Western,中西區,Hong Kong,香港島,306763,306763,H31/67,H31/67,1967-01-27,1967-01-27,Podium,平台,Office/Commercial,寫字樓/商業,22.28555924,114.1551352,114.15513520032925,22.285559240166833
5057,Building information and age records,樓宇資料及樓齡紀錄,65 GILMAN ST CHINA INSURANCE GROUP BLDG,機利文街65號 中保集團大廈,Central & Western,中西區,Hong Kong,香港島,306786,306786,H31/67,H31/67,1967-01-27,1967-01-27,Tower,座,Office/Commercial,寫字樓/商業,22.28555924,114.1551352,114.15513520032925,22.285559240166833
5058,Building information and age records,樓宇資料及樓齡紀錄,368/374 PRINCE EDWARD RD W PEARL HOUSE,太子道西368/374號 龍珠樓,Kowloon City,九龍城,Kowloon,九龍,306787,306787,NK48/81,NK48/81,1981-06-25,1981-06-25,Tower,座,Residential/Composite,住宅/綜合用途,22.32766197,114.1879018,114.18790180032784,22.32766197032373
5059,Building information and age records,樓宇資料及樓齡紀錄,616 QUEEN'S RD W SUM WAY MANSION,皇后大道西616號 三滙大廈,Central & Western,中西區,Hong Kong,香港島,306788,306788,H242/73,H242/73,1973-12-21,1973-12-21,Tower,座,Residential/Composite,住宅/綜合用途,22.28648537,114.1325079,114.13250789971983,22.286485370103776
5060,Building information and age records,樓宇資料及樓齡紀錄,52 GILMAN ST BEAUTIFUL GROUP TOWER,機利文街52號 標華豐集團大廈,Central & Western,中西區,Hong Kong,香港島,306946,306946,H37/72,H37/72,1972-02-18,1972-02-18,Tower,座,Office/Commercial,寫字樓/商業,22.28584118,114.1549211,114.15492109962906,22.28584118032626
5061,Building information and age records,樓宇資料及樓齡紀錄,376/378 PRINCE EDWARD RD W,太子道西376/378號,Kowloon City,九龍城,Kowloon,九龍,306973,306973,NK139/71,NK139/71,1971-12-14,1971-12-14,Tower,座,Residential/Composite,住宅/綜合用途,22.32773642,114.1882479,114.18824789992073,22.327736419799976
5062,Building information and age records,樓宇資料及樓齡紀錄,6/8 PRAYA KENNEDY TOWN CHESTER COURT,堅彌地城海旁6/8號 澤安閣,Central & Western,中西區,Hong Kong,香港島,306995,306995,H132/87,H132/87,1987-12-04,1987-12-04,Tower,座,Residential/Composite,住宅/綜合用途,22.28629754,114.1324156,114.13241559960034,22.286297540399232
5063,Building information and age records,樓宇資料及樓齡紀錄,382/384 PRINCE EDWARD RD W KWOK HWA BUILDING,太子道西382/384號 國華樓,Kowloon City,九龍城,Kowloon,九龍,307147,307147,NK29/85,NK29/85,1985-06-12,1985-06-12,Tower,座,Residential/Composite,住宅/綜合用途,22.32774754,114.1884326,114.1884325999846,22.327747539917084
5064,Building information and age records,樓宇資料及樓齡紀錄,78/83 CONNAUGHT RD C CTG HOUSE,干諾道中78/83號 中旅集團大廈,Central & Western,中西區,Hong Kong,香港島,307174,307174,H133/86,H133/86,1986-12-11,1986-12-11,Podium,平台,Office/Commercial,寫字樓/商業,22.28593025,114.154703,114.15470299964375,22.285930250081037
5065,Building information and age records,樓宇資料及樓齡紀錄,78/83 CONNAUGHT RD C CTG HOUSE,干諾道中78/83號 中旅集團大廈,Central & Western,中西區,Hong Kong,香港島,307196,307196,H133/86,H133/86,1986-12-11,1986-12-11,Tower,座,Office/Commercial,寫字樓/商業,22.28593025,114.154703,114.15470299964375,22.285930250081037
5066,Building information and age records,樓宇資料及樓齡紀錄,15 PRAYA KENNEDY TOWN SUNGLOW BUILDING,堅彌地城海旁15號 曉暉大廈,Central & Western,中西區,Hong Kong,香港島,307212,307212,H85/89,H85/89,1989-06-30,1989-06-30,Podium,平台,Residential/Composite,住宅/綜合用途,22.28609253,114.1323189,114.13231889999724,22.28609253004629
5067,Building information and age records,樓宇資料及樓齡紀錄,181 DES VOEUX RD C SUN HOUSE,德輔道中181號 大新行,Central & Western,中西區,Hong Kong,香港島,307237,307237,H257/77,H257/77,1977-12-22,1977-12-22,Tower,座,Office/Commercial,寫字樓/商業,22.28614651,114.1541314,114.15413140044382,22.28614651005347
5068,Building information and age records,樓宇資料及樓齡紀錄,1/13 HOLLYWOOD RD CHINACHEM HOLLYWOOD CENTRE,荷李活道1/13號 華懋荷李活中心,Central & Western,中西區,Hong Kong,香港島,307278,307278,H69/94,H69/94,1994-07-23,1994-07-23,Podium,平台,Office/Commercial,寫字樓/商業,22.28200759,114.1543794,114.15437940018921,22.282007589878447
5069,Building information and age records,樓宇資料及樓齡紀錄,181 DES VOEUX RD C SUN HOUSE,德輔道中181號 大新行,Central & Western,中西區,Hong Kong,香港島,307296,307296,H257/77,H257/77,1977-12-22,1977-12-22,Podium,平台,Office/Commercial,寫字樓/商業,22.28614651,114.1541314,114.15413140044382,22.28614651005347
5070,Building information and age records,樓宇資料及樓齡紀錄,199 DES VOEUX RD C INFINITUS PLAZA,德輔道中199號 無限極廣場,Central & Western,中西區,Hong Kong,香港島,307304,307304,H112/87(MTR),H112/87(MTR),1987-10-17,1987-10-17,Podium,平台,Office/Commercial,寫字樓/商業,22.28641188,114.1536844,114.15368439961537,22.286411880204184
5071,Building information and age records,樓宇資料及樓齡紀錄,1/13 HOLLYWOOD RD CHINACHEM HOLLYWOOD CENTRE,荷李活道1/13號 華懋荷李活中心,Central & Western,中西區,Hong Kong,香港島,307361,307361,H69/94,H69/94,1994-07-23,1994-07-23,Tower,座,Office/Commercial,寫字樓/商業,22.28198882,114.1544253,114.15442529978782,22.281988820127992
5072,Building information and age records,樓宇資料及樓齡紀錄,199 DES VOEUX RD C INFINITUS PLAZA,德輔道中199號 無限極廣場,Central & Western,中西區,Hong Kong,香港島,307453,307453,H112/87(MTR),H112/87(MTR),1987-10-17,1987-10-17,Tower,座,Office/Commercial,寫字樓/商業,22.28641188,114.1536844,114.15368439961537,22.286411880204184
5073,Building information and age records,樓宇資料及樓齡紀錄,12 PRAYA KENNEDY TOWN SUNGLOW BUILDING,堅彌地城海旁12號 曉暉大廈,Central & Western,中西區,Hong Kong,香港島,307458,307458,H85/89,H85/89,1989-06-30,1989-06-30,Tower,座,Residential/Composite,住宅/綜合用途,22.28610102,114.1323171,114.1323170995546,22.286101019646367
5074,Building information and age records,樓宇資料及樓齡紀錄,211 DES VOEUX RD C WING ON CENTRE,德輔道中211號 永安中心,Central & Western,中西區,Hong Kong,香港島,307848,307848,H139/78,H139/78,1978-09-05,1978-09-05,Podium,平台,Office/Commercial,寫字樓/商業,22.28666876,114.1529833,114.15298329983943,22.286668759855445
5075,Building information and age records,樓宇資料及樓齡紀錄,23 HOLLYWOOD RD AMBER LODGE,荷李活道23號 金珀苑,Central & Western,中西區,Hong Kong,香港島,307849,307849,H26/98,H26/98,1998-04-22,1998-04-22,Podium,平台,Residential/Composite,住宅/綜合用途,22.28209723,114.1539939,114.15399390039829,22.282097229803355
5076,Building information and age records,樓宇資料及樓齡紀錄,3 BELCHER'S ST SUN COURT,卑路乍街3號 大新閣,Central & Western,中西區,Hong Kong,香港島,307864,307864,H154/79,H154/79,1979-10-01,1979-10-01,Tower,座,Residential/Composite,住宅/綜合用途,22.28592483,114.1322594,114.13225939995141,22.285924829867042
5077,Building information and age records,樓宇資料及樓齡紀錄,29 HOLLYWOOD RD HOLLYWOOD HSE,荷李活道29號 活麟大廈,Central & Western,中西區,Hong Kong,香港島,308077,308077,H286/65,H286/65,1965-11-01,1965-11-01,Tower,座,Residential/Composite,住宅/綜合用途,22.28216665,114.1538048,114.15380479995167,22.282166650270767
5078,Building information and age records,樓宇資料及樓齡紀錄,211 DES VOEUX RD C WING ON CENTRE,德輔道中211號 永安中心,Central & Western,中西區,Hong Kong,香港島,308101,308101,H139/78,H139/78,1978-09-05,1978-09-05,Tower,座,Office/Commercial,寫字樓/商業,22.28666876,114.1529833,114.15298329983943,22.286668759855445
5079,Building information and age records,樓宇資料及樓齡紀錄,31/33 HOLLYWOOD RD,荷李活道31/33號,Central & Western,中西區,Hong Kong,香港島,308374,308374,H43/69,H43/69,1969-03-11,1969-03-11,Tower,座,Office/Commercial,寫字樓/商業,22.28220332,114.1537069,114.15370689975373,22.282203320127167
5080,Building information and age records,樓宇資料及樓齡紀錄,43 HOLLYWOOD RD ON LOK HSE,荷李活道43號 安樂樓,Central & Western,中西區,Hong Kong,香港島,308539,308539,H198/71,H198/71,1971-10-18,1971-10-18,Tower,座,Residential/Composite,住宅/綜合用途,22.28229077,114.1534961,114.15349609956536,22.282290770202906
5081,Building information and age records,樓宇資料及樓齡紀錄,5 BELCHER'S ST NAMHUNG MANSION BLK A,卑路乍街5號 南雄大廈 A座,Central & Western,中西區,Hong Kong,香港島,308540,308540,H170/74,H170/74,1974-09-05,1974-09-05,Tower,座,Residential/Composite,住宅/綜合用途,22.28541101,114.1319019,114.13190189965303,22.28541101030993
5082,Building information and age records,樓宇資料及樓齡紀錄,47 HOLLYWOOD RD,荷李活道47號,Central & Western,中西區,Hong Kong,香港島,309052,309052,H24/65,H24/65,1965-01-27,1965-01-27,Tower,座,Office/Commercial,寫字樓/商業,22.28233845,114.1533648,114.15336480034534,22.28233844955986
5083,Building information and age records,樓宇資料及樓齡紀錄,49 HOLLYWOOD RD HILLTOP PLAZA,荷李活道49號 鴻豐商業中心,Central & Western,中西區,Hong Kong,香港島,309237,309237,H107/92,H107/92,1992-08-28,1992-08-28,Podium,平台,Office/Commercial,寫字樓/商業,22.28275601,114.1530964,114.15309640037867,22.2827560101818
5084,Building information and age records,樓宇資料及樓齡紀錄,49 HOLLYWOOD RD HILLTOP PLAZA,荷李活道49號 鴻豐商業中心,Central & Western,中西區,Hong Kong,香港島,309242,309242,H107/92,H107/92,1992-08-28,1992-08-28,Tower,座,Office/Commercial,寫字樓/商業,22.28275733,114.1530891,114.15308909968223,22.282757330386517
5085,Building information and age records,樓宇資料及樓齡紀錄,3 CONNAUGHT RD W YARDLEY COMMERCIAL BUILDING,干諾道西3號 億利商業大廈,Central & Western,中西區,Hong Kong,香港島,309282,309282,H107/81,H107/81,1981-08-24,1981-08-24,Podium,平台,Office/Commercial,寫字樓/商業,22.28745181,114.1500979,114.15009789969838,22.28745181035282
5086,Building information and age records,樓宇資料及樓齡紀錄,11 BELCHER'S ST HOI TAO BUILDING (BLK A),卑路乍街11號 海都樓 (A座),Central & Western,中西區,Hong Kong,香港島,309300,309300,H229/66,H229/66,1966-06-30,1966-06-30,Tower,座,Residential/Composite,住宅/綜合用途,22.28464803,114.1315615,114.13156149996337,22.284648029982634
5087,Building information and age records,樓宇資料及樓齡紀錄,3 CONNAUGHT RD W YARDLEY COMMERCIAL BUILDING,干諾道西3號 億利商業大廈,Central & Western,中西區,Hong Kong,香港島,309513,309513,H107/81,H107/81,1981-08-24,1981-08-24,Tower,座,Office/Commercial,寫字樓/商業,22.28745181,114.1500979,114.15009789969838,22.28745181035282
5088,Building information and age records,樓宇資料及樓齡紀錄,53/55 HOLLYWOOD RD MADERA HOLLYWOOD,荷李活道53/55號 MADERA HOLLYWOOD,Central & Western,中西區,Hong Kong,香港島,309873,309873,H121/93,H121/93,1993-10-19,1993-10-19,Podium,平台,Office/Commercial,寫字樓/商業,22.28286823,114.1530159,114.15301590026365,22.282868230284635
5089,Building information and age records,樓宇資料及樓齡紀錄,53/55 HOLLYWOOD RD MADERA HOLLYWOOD,荷李活道53/55號 MADERA HOLLYWOOD,Central & Western,中西區,Hong Kong,香港島,309890,309890,H121/93,H121/93,1993-10-19,1993-10-19,Tower,座,Office/Commercial,寫字樓/商業,22.28288365,114.1530031,114.15300310021291,22.282883650060455
5090,Building information and age records,樓宇資料及樓齡紀錄,27 NEW MARKET ST KA ON BUILDING,新街市街27號 嘉安大廈,Central & Western,中西區,Hong Kong,香港島,309891,309891,H243/72,H243/72,1972-12-20,1972-12-20,Podium,平台,Residential/Composite,住宅/綜合用途,22.2875456,114.1497818,114.14978179969034,22.287545599749706
5091,Building information and age records,樓宇資料及樓齡紀錄,2A/2B BELCHER'S ST,卑路乍街2A/2B號,Central & Western,中西區,Hong Kong,香港島,309892,309892,ND143/54,ND143/54,1954-08-17,1954-08-17,Tower,座,Office/Commercial,寫字樓/商業,22.28647835,114.1328441,114.13284409957555,22.28647834999589
5092,Building information and age records,樓宇資料及樓齡紀錄,27 NEW MARKET ST KA ON BUILDING,新街市街27號 嘉安大廈,Central & Western,中西區,Hong Kong,香港島,310019,310019,H243/72,H243/72,1972-12-20,1972-12-20,Tower,座,Residential/Composite,住宅/綜合用途,22.2875456,114.1497818,114.14978179969034,22.287545599749706
5093,Building information and age records,樓宇資料及樓齡紀錄,45 PEEL ST LEE ROY COMMERCIAL BUILDING,卑利街45號 利來商業大廈,Central & Western,中西區,Hong Kong,香港島,310077,310077,H138/88,H138/88,1988-12-06,1988-12-06,Podium,平台,Office/Commercial,寫字樓/商業,22.28302161,114.1529057,114.1529057000381,22.283021609659613
5094,Building information and age records,樓宇資料及樓齡紀錄,6 BELCHER'S ST SUN SHING BUILDING,卑路乍街6號 新城大樓,Central & Western,中西區,Hong Kong,香港島,310118,310118,H236/74,H236/74,1974-11-29,1974-11-29,Tower,座,Residential/Composite,住宅/綜合用途,22.28625009,114.1328064,114.13280639999539,22.286250090369435
5095,Building information and age records,樓宇資料及樓齡紀錄,45 PEEL ST LEE ROY COMMERCIAL BUILDING,卑利街45號 利來商業大廈,Central & Western,中西區,Hong Kong,香港島,310124,310124,H138/88,H138/88,1988-12-06,1988-12-06,Tower,座,Office/Commercial,寫字樓/商業,22.28302161,114.1529057,114.1529057000381,22.283021609659613
5096,Building information and age records,樓宇資料及樓齡紀錄,63 HOLLYWOOD RD,荷李活道63號,Central & Western,中西區,Hong Kong,香港島,310226,310226,H199/71,H199/71,1971-10-18,1971-10-18,Tower,座,Residential/Composite,住宅/綜合用途,22.28309649,114.1528616,114.15286159998288,22.283096489911145
5097,Building information and age records,樓宇資料及樓齡紀錄,139 PAK TAI ST,北帝街139號,Kowloon City,九龍城,Kowloon,九龍,310266,310266,K53/68,K53/68,1968-08-12,1968-08-12,Tower,座,Residential/Composite,住宅/綜合用途,22.32353845,114.1893578,114.18935780002255,22.323538450139438
5098,Building information and age records,樓宇資料及樓齡紀錄,147 PAK TAI ST SANFORD MANSION,北帝街147號 順輝大廈,Kowloon City,九龍城,Kowloon,九龍,310288,310288,K12/87,K12/87,1987-05-18,1987-05-18,Tower,座,Residential/Composite,住宅/綜合用途,22.32368657,114.1894385,114.189438499787,22.32368657027905
5099,Building information and age records,樓宇資料及樓齡紀錄,17 CONNAUGHT RD W,干諾道西17號,Central & Western,中西區,Hong Kong,香港島,310395,310395,ND212/50,ND212/50,1950-11-17,1950-11-17,Tower,座,Office/Commercial,寫字樓/商業,22.28762271,114.149505,114.1495050000558,22.28762271031985
5100,Building information and age records,樓宇資料及樓齡紀錄,67 HOLLYWOOD RD,荷李活道67號,Central & Western,中西區,Hong Kong,香港島,310403,310403,H47/66,H47/66,1966-02-14,1966-02-14,Tower,座,Residential/Composite,住宅/綜合用途,22.283166,114.1528155,114.15281549983547,22.2831660003107
5101,Building information and age records,樓宇資料及樓齡紀錄,18/19 CONNAUGHT RD W UWA BUILDING,干諾道西18/19號 祐華大廈,Central & Western,中西區,Hong Kong,香港島,310404,310404,H22/79,H22/79,1979-02-10,1979-02-10,Tower,座,Office/Commercial,寫字樓/商業,22.28764051,114.1494381,114.14943810038812,22.287640509701816
5102,Building information and age records,樓宇資料及樓齡紀錄,69 HOLLYWOOD RD THE SOHO,荷李活道69號 THE SOHO,Central & Western,中西區,Hong Kong,香港島,310489,310489,HK70/2000(OP),HK70/2000(OP),2000-12-27,2000-12-27,Tower,座,Office/Commercial,寫字樓/商業,22.28325842,114.1527548,114.15275480009404,22.283258420040113
5103,Building information and age records,樓宇資料及樓齡紀錄,39/41 NEW MARKET ST CHUNG YING BUILDING,新街市街39/41號 中英大廈,Central & Western,中西區,Hong Kong,香港島,310490,310490,H101/78,H101/78,1978-07-05,1978-07-05,Tower,座,Office/Commercial,寫字樓/商業,22.28765072,114.14935,114.14935000010246,22.287650719705027
5104,Building information and age records,樓宇資料及樓齡紀錄,75A HOLLYWOOD RD,荷李活道75A號,Central & Western,中西區,Hong Kong,香港島,310498,310498,H270/64,H270/64,1964-10-12,1964-10-12,Tower,座,Residential/Composite,住宅/綜合用途,22.28335936,114.1526909,114.15269089966534,22.28335935994653
5105,Building information and age records,樓宇資料及樓齡紀錄,60 PAK TAI ST TUNG PO BUILDING,北帝街60號 東寶大樓,Kowloon City,九龍城,Kowloon,九龍,310567,310567,K8/70,K8/70,1970-02-13,1970-02-13,Tower,座,Residential/Composite,住宅/綜合用途,22.32257117,114.1894776,114.18947759961156,22.322571169923606
5106,Building information and age records,樓宇資料及樓齡紀錄,81A HOLLYWOOD RD,荷李活道81A號,Central & Western,中西區,Hong Kong,香港島,310575,310575,H86/75,H86/75,1975-04-14,1975-04-14,Tower,座,Residential/Composite,住宅/綜合用途,22.28346003,114.1526195,114.15261949979015,22.283460030056403
5107,Building information and age records,樓宇資料及樓齡紀錄,45 NEW MARKET ST SEAVIEW COMMERCIAL BUILDING,新街市街45號 海景商業大廈,Central & Western,中西區,Hong Kong,香港島,310806,310806,H24/80,H24/80,1980-01-31,1980-01-31,Tower,座,Office/Commercial,寫字樓/商業,22.28769454,114.1491926,114.14919259985868,22.287694540071016
5108,Building information and age records,樓宇資料及樓齡紀錄,28 CONNAUGHT RD W WAYSON COMMERCIAL BUILDING,干諾道西28號 威勝商業大廈,Central & Western,中西區,Hong Kong,香港島,310899,310899,H2/82,H2/82,1982-01-07,1982-01-07,Podium,平台,Office/Commercial,寫字樓/商業,22.2877781,114.1489077,114.14890770003035,22.2877780996796
5109,Building information and age records,樓宇資料及樓齡紀錄,20 HOLLYWOOD RD,荷李活道20號,Central & Western,中西區,Hong Kong,香港島,310973,310973,ND43/53,ND43/53,1953-03-13,1953-03-13,Tower,座,Office/Commercial,寫字樓/商業,22.28193382,114.1537418,114.15374179974435,22.281933820289623
5110,Building information and age records,樓宇資料及樓齡紀錄,28 CONNAUGHT RD W WAYSON COMMERCIAL BUILDING,干諾道西28號 威勝商業大廈,Central & Western,中西區,Hong Kong,香港島,310979,310979,H2/82,H2/82,1982-01-07,1982-01-07,Tower,座,Office/Commercial,寫字樓/商業,22.2877781,114.1489077,114.14890770003035,22.2877780996796
5111,Building information and age records,樓宇資料及樓齡紀錄,35/36 CONNAUGHT RD W CONNAUGHT HARBOURFRONT HOUSE,干諾道西35/36號 香港康諾維港大廈,Central & Western,中西區,Hong Kong,香港島,311243,311243,H48/82,H48/82,1982-03-30,1982-03-30,Tower,座,Office/Commercial,寫字樓/商業,22.28780725,114.148686,114.14868600005889,22.28780725030441
5112,Building information and age records,樓宇資料及樓齡紀錄,22 HOLLYWOOD RD,荷李活道22號,Central & Western,中西區,Hong Kong,香港島,311260,311260,D100/51,D100/51,1951-04-23,1951-04-23,Tower,座,Residential/Composite,住宅/綜合用途,22.28196175,114.1536915,114.153691499763,22.281961749635116
5113,Building information and age records,樓宇資料及樓齡紀錄,190B TONG MI RD YING MAY BUILDING,塘尾道190B號 英美大樓,Yau Tsim Mong,油尖旺,Kowloon,九龍,311280,311280,K462/65,K462/65,1965-11-06,1965-11-06,Tower,座,Residential/Composite,住宅/綜合用途,22.32371151,114.1653063,114.16530629974602,22.32371151027803
5114,Building information and age records,樓宇資料及樓齡紀錄,24 HOLLYWOOD RD,荷李活道24號,Central & Western,中西區,Hong Kong,香港島,311356,311356,H429/66,H429/66,1966-11-19,1966-11-19,Tower,座,Residential/Composite,住宅/綜合用途,22.28197981,114.1536341,114.15363409963402,22.281979809820427
5115,Building information and age records,樓宇資料及樓齡紀錄,41 CONNAUGHT RD W TUNG KONG BUILDING,干諾道西41號 東江大廈,Central & Western,中西區,Hong Kong,香港島,311364,311364,H4/69,H4/69,1969-01-03,1969-01-03,Tower,座,Office/Commercial,寫字樓/商業,22.28792204,114.1485111,114.14851109990741,22.287922039770365
5116,Building information and age records,樓宇資料及樓齡紀錄,28 HOLLYWOOD RD WINNING HSE,荷李活道28號 永寧大廈,Central & Western,中西區,Hong Kong,香港島,311403,311403,H31/58,H31/58,1958-02-05,1958-02-05,Tower,座,Residential/Composite,住宅/綜合用途,22.28200717,114.1535535,114.15355349969434,22.282007169895053
5117,Building information and age records,樓宇資料及樓齡紀錄,74 PRINCE EDWARD RD W FOOK MAN MANSION,太子道西74號 福民大樓,Yau Tsim Mong,油尖旺,Kowloon,九龍,311416,311416,K303/66,K303/66,1966-08-25,1966-08-25,Tower,座,Residential/Composite,住宅/綜合用途,22.3237324,114.1654207,114.16542069980551,22.32373239973049
5118,Building information and age records,樓宇資料及樓齡紀錄,30 HOLLYWOOD RD AL-AQMAR HSE,荷李活道30號 愛瑪大廈,Central & Western,中西區,Hong Kong,香港島,311480,311480,H47/83,H47/83,1983-04-08,1983-04-08,Podium,平台,Office/Commercial,寫字樓/商業,22.28203932,114.1534598,114.15345980022971,22.282039319758837
5119,Building information and age records,樓宇資料及樓齡紀錄,200/202 WING LOK ST GOLDFIELD BUILDING,永樂街200/202號 高富大廈,Central & Western,中西區,Hong Kong,香港島,311484,311484,H229/72,H229/72,1972-12-01,1972-12-01,Tower,座,Office/Commercial,寫字樓/商業,22.28787993,114.1484119,114.1484119001891,22.28787992991488
5120,Building information and age records,樓宇資料及樓齡紀錄,30 HOLLYWOOD RD AL-AQMAR HSE,荷李活道30號 愛瑪大廈,Central & Western,中西區,Hong Kong,香港島,311514,311514,H47/83,H47/83,1983-04-08,1983-04-08,Tower,座,Office/Commercial,寫字樓/商業,22.28203932,114.1534598,114.15345980022971,22.282039319758837
5121,Building information and age records,樓宇資料及樓齡紀錄,78 PRINCE EDWARD RD W NAM FUNG HOUSE,太子道西78號 南風樓,Yau Tsim Mong,油尖旺,Kowloon,九龍,311542,311542,K374/66,K374/66,1966-10-26,1966-10-26,Tower,座,Residential/Composite,住宅/綜合用途,22.32375047,114.1655241,114.16552410025713,22.323750469808374
5122,Building information and age records,樓宇資料及樓齡紀錄,210 WING LOK ST KAI FAT BUILDING,永樂街210號 啟發大廈,Central & Western,中西區,Hong Kong,香港島,311572,311572,H80/71,H80/71,1971-04-18,1971-04-18,Tower,座,Office/Commercial,寫字樓/商業,22.28791942,114.1482806,114.14828060006971,22.287919420045228
5123,Building information and age records,樓宇資料及樓齡紀錄,40 HOLLYWOOD RD WING ON BUILDING,荷李活道40號 永安樓,Central & Western,中西區,Hong Kong,香港島,311684,311684,H68/72,H68/72,1972-03-29,1972-03-29,Tower,座,Residential/Composite,住宅/綜合用途,22.28220494,114.1532114,114.15321140028595,22.28220493980615
5124,Building information and age records,樓宇資料及樓齡紀錄,80/82 PRINCE EDWARD RD W KIMBERD COURT,太子道西80/82號 金寶閣,Yau Tsim Mong,油尖旺,Kowloon,九龍,311700,311700,K1/88,K1/88,1988-01-13,1988-01-13,Tower,座,Residential/Composite,住宅/綜合用途,22.32377869,114.1656292,114.16562920042736,22.323778689634878
5125,Building information and age records,樓宇資料及樓齡紀錄,4 TAI PING SHAN ST TAI CHEUNG BUILDING,太平山街4號 太昌樓,Central & Western,中西區,Hong Kong,香港島,311763,311763,H56/74,H56/74,1974-04-09,1974-04-09,Tower,座,Residential/Composite,住宅/綜合用途,22.28420707,114.1488087,114.14880869996159,22.28420706990039
5126,Building information and age records,樓宇資料及樓齡紀錄,42A HOLLYWOOD RD,荷李活道42A號,Central & Western,中西區,Hong Kong,香港島,311803,311803,H73/63,H73/63,1963-05-13,1963-05-13,Tower,座,Residential/Composite,住宅/綜合用途,22.28224727,114.1531392,114.15313920001415,22.282247269995537
5127,Building information and age records,樓宇資料及樓齡紀錄,50 HOLLYWOOD RD,荷李活道50號 旭照樓,Central & Western,中西區,Hong Kong,香港島,311881,311881,H70/68,H70/68,1968-03-27,1968-03-27,Tower,座,Residential/Composite,住宅/綜合用途,22.28237424,114.1530634,114.1530633997562,22.282374239879346
5128,Building information and age records,樓宇資料及樓齡紀錄,84/88 PRINCE EDWARD RD W KA YEE MANSION,太子道西84/88號 嘉怡大廈,Yau Tsim Mong,油尖旺,Kowloon,九龍,311905,311905,K19/88,K19/88,1988-07-28,1988-07-28,Podium,平台,Residential/Composite,住宅/綜合用途,22.32379179,114.1657644,114.1657644000071,22.32379179005909
5129,Building information and age records,樓宇資料及樓齡紀錄,84/88 PRINCE EDWARD RD W KA YEE MANSION,太子道西84/88號 嘉怡大廈,Yau Tsim Mong,油尖旺,Kowloon,九龍,311928,311928,K19/88,K19/88,1988-07-28,1988-07-28,Tower,座,Residential/Composite,住宅/綜合用途,22.32380602,114.1657563,114.16575629981344,22.32380602003184
5130,Building information and age records,樓宇資料及樓齡紀錄,6 TAI PING SHAN ST PO WAN BUILDING,太平山街6號 寶雲樓,Central & Western,中西區,Hong Kong,香港島,312061,312061,H151/84,H151/84,1984-12-13,1984-12-13,Tower,座,Residential/Composite,住宅/綜合用途,22.28424516,114.1487571,114.14875709956061,22.284245159786337
5131,Building information and age records,樓宇資料及樓齡紀錄,44 PEEL ST FELICITY BUILDING,卑利街44號 中發大廈,Central & Western,中西區,Hong Kong,香港島,312081,312081,H7/78,H7/78,1978-01-12,1978-01-12,Podium,平台,Residential/Composite,住宅/綜合用途,22.28266376,114.1528074,114.1528073996418,22.28266376042427
