OBJECTID,DATASET_E,DATASET_C,ADDRESS_E,ADDRESS_C,SEARCH1_E,SEARCH1_C,SEARCH2_E,SEARCH2_C,NSEARCH1_E,NSEARCH1_C,NSEARCH2_E,NSEARCH2_C,NSEARCH3_E,NSEARCH3_C,NSEARCH4_E,NSEARCH4_C,NSEARCH5_E,NSEARCH5_C,LATITUDE,LONGITUDE,GeometryLongitude,GeometryLatitude
16,Building information and age records,樓宇資料及樓齡紀錄,House 1 9 Lok To Street,1洋房 樂濤街 9號,Tuen Mun,屯門,New Territories,新界,6074171,6074171,NT62/2017(OP),NT62/2017(OP),2017-09-26,2017-09-26,Tower,座,Residential/Composite,住宅/綜合用途,22.36314158,114.0028576,114.0028576000982,22.363141580319734
17,Building information and age records,樓宇資料及樓齡紀錄,House 2 9 Lok To Street,2洋房 樂濤街 9號,Tuen Mun,屯門,New Territories,新界,6074184,6074184,NT62/2017(OP),NT62/2017(OP),2017-09-26,2017-09-26,Tower,座,Residential/Composite,住宅/綜合用途,22.3631876,114.002948,114.00294799995027,22.363187600427466
18,Building information and age records,樓宇資料及樓齡紀錄,House 3 9 Lok To Street,3洋房 樂濤街 9號,Tuen Mun,屯門,New Territories,新界,6074185,6074185,NT62/2017(OP),NT62/2017(OP),2017-09-26,2017-09-26,Tower,座,Residential/Composite,住宅/綜合用途,22.36323236,114.0030396,114.0030396003973,22.363232359685696
19,Building information and age records,樓宇資料及樓齡紀錄,HANG CHEONG CENTRE 138 BEDFORD RD,必發道138號恒昌中心,Yau Tsim Mong,油尖旺,Kowloon,九龍,60913,60913,K29/93,K29/93,1993-06-29,1993-06-29,Tower,座,Industrial,工業,22.32445993,114.1621798,114.16217980035753,22.324459929682064
20,Building information and age records,樓宇資料及樓齡紀錄,THE MARCO POLO HONG KONG HOTEL ARCADE 3 CANTON RD,廣東道3號,Yau Tsim Mong,油尖旺,Kowloon,九龍,134074,134074,K16/70,K16/70,1970-03-24,1970-03-24,Podium,平台,Office/Commercial,寫字樓/商業,22.29525537,114.1688683,114.16886830033184,22.29525536983948
21,Building information and age records,樓宇資料及樓齡紀錄,LAI MAN COURT BLK 1 SHAUKEIWAN PLAZA 17 NAM HONG ST,南康街17號 天悅筲箕灣廣場 麗文苑(第1座),Eastern,東區,Hong Kong,香港島,465456,465456,H45/92,H45/92,1992-04-06,1992-04-06,Tower,座,Residential/Composite,住宅/綜合用途,22.27752169,114.2262589,114.22625890002826,22.277521689674302
22,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS ADMIRALTY HEIGHTS BLK A 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園愛都閣,Sha Tin,沙田,New Territories,新界,1904390,1904390,NT98/82,NT98/82,1982-06-01,1982-06-01,Tower,座,Residential/Composite,住宅/綜合用途,22.38414595,114.1979701,114.19797010004015,22.384145949975675
23,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS BEVERLEY HEIGHTS BLK B 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園碧華閣,Sha Tin,沙田,New Territories,新界,1904685,1904685,NT97/82,NT97/82,1982-06-01,1982-06-01,Tower,座,Residential/Composite,住宅/綜合用途,22.38416409,114.1982605,114.19826050012205,22.38416409020067
24,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS CARMEL HEIGHTS BLK C 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園嘉美閣,Sha Tin,沙田,New Territories,新界,1904815,1904815,NT96/82,NT96/82,1982-06-01,1982-06-01,Tower,座,Residential/Composite,住宅/綜合用途,22.38418337,114.1985517,114.19855169970128,22.384183369866662
25,Building information and age records,樓宇資料及樓齡紀錄,BELAIR GARDENS DOMINION HEIGHTS BLK D 52 TAI CHUNG KIU RD,沙田大涌橋路52號富豪花園明麗閣,Sha Tin,沙田,New Territories,新界,1904948,1904948,NT95/82,NT95/82,1982-06-01,1982-06-01,Tower,座,Residential/Composite,住宅/綜合用途,22.38420516,114.1988368,114.19883680007831,22.384205160439876
